episode,step,x,y
1.00,75.00,343.38,343.37
1.00,76.00,365.89,354.24
1.00,77.00,378.81,332.84
1.00,78.00,374.55,308.20
1.00,79.00,361.30,287.00
1.00,80.00,336.96,281.32
1.00,81.00,323.74,260.10
1.00,82.00,345.15,247.19
1.00,83.00,362.83,264.87
1.00,84.00,379.04,245.84
1.00,85.00,383.95,270.35
1.00,86.00,367.21,288.92
1.00,87.00,347.33,273.75
1.00,88.00,365.01,291.43
1.00,89.00,385.88,305.19
1.00,90.00,376.52,328.37
1.00,91.00,398.53,316.51
1.00,92.00,377.68,330.30
1.00,93.00,391.63,351.04
1.00,94.00,409.39,368.64
1.00,95.00,429.43,383.58
1.00,96.00,406.10,392.56
1.00,97.00,381.14,394.10
1.00,98.00,383.20,419.02
1.00,99.00,363.78,434.77
1.00,100.00,356.07,410.98
2.00,1.00,75.55,219.57
2.00,2.00,53.12,208.54
2.00,3.00,70.90,190.97
2.00,4.00,77.62,215.05
2.00,5.00,101.07,223.71
2.00,6.00,118.75,241.39
2.00,7.00,97.20,228.71
2.00,8.00,87.91,251.92
2.00,9.00,64.43,243.33
2.00,10.00,40.05,237.83
2.00,11.00,20.01,252.78
2.00,12.00,4.97,232.81
2.00,13.00,25.13,247.58
2.00,14.00,42.81,229.90
2.00,15.00,28.44,250.36
2.00,16.00,30.91,225.48
2.00,17.00,55.15,219.36
2.00,18.00,60.24,194.88
2.00,19.00,84.22,187.83
2.00,20.00,109.16,189.49
2.00,21.00,134.06,191.72
2.00,22.00,124.12,214.66
2.00,23.00,141.96,232.17
2.00,24.00,166.76,235.37
2.00,25.00,146.46,249.97
2.00,26.00,146.17,274.97
2.00,27.00,171.10,276.79
2.00,28.00,187.89,295.31
2.00,29.00,189.57,320.26
2.00,30.00,214.53,321.59
2.00,31.00,232.21,339.27
2.00,32.00,253.52,326.20
2.00,33.00,235.84,343.88
2.00,34.00,218.17,361.55
2.00,35.00,205.27,340.14
2.00,36.00,230.27,340.67
2.00,37.00,254.08,348.28
2.00,38.00,278.17,341.57
2.00,39.00,297.31,357.65
2.00,40.00,317.19,342.50
2.00,41.00,341.74,337.79
2.00,42.00,316.77,336.69
2.00,43.00,338.04,323.56
2.00,44.00,355.72,341.23
2.00,45.00,374.26,358.00
2.00,46.00,394.33,343.09
