episode,total_reward,DEP,throughput
65.0000,-5469.8082,0.8483,8.6739
66.0000,2057.5152,1.0000,7.1442
67.0000,-2177.0021,0.8936,9.4727
68.0000,-1265.1434,0.9828,4.4281
69.0000,-5275.5159,0.8870,6.8665
70.0000,-5635.0846,0.8602,7.2626
71.0000,-1562.6719,0.9739,4.1236
72.0000,-2685.6006,0.9297,6.0926
73.0000,-2789.4983,0.9483,3.9994
74.0000,56.8301,1.0000,5.3537
75.0000,-924.9179,0.9658,6.2596
76.0000,-6515.5243,0.8782,5.1445
77.0000,-2314.3799,0.9497,5.2956
78.0000,45.2047,0.9917,5.5244
79.0000,546.0585,0.9654,8.6544
80.0000,1175.6181,1.0000,6.0464
81.0000,-401.8408,0.9916,4.6021
82.0000,897.8000,1.0000,5.7521
83.0000,579.6854,1.0000,5.6784
84.0000,680.6317,1.0000,6.1345
85.0000,438.7408,1.0000,7.2802
86.0000,-935.7520,0.9578,6.8178
87.0000,2026.5115,1.0000,8.1710
88.0000,1044.1048,0.9913,7.6167
89.0000,1208.5482,1.0000,6.2207
90.0000,616.7123,1.0000,5.5188
91.0000,2282.7502,1.0000,8.7121
92.0000,1223.7045,1.0000,7.4219
93.0000,158.2030,0.9385,9.9751
94.0000,1509.7255,0.9918,8.3157
95.0000,1870.4475,0.9739,9.5615
96.0000,-517.3522,0.9558,8.8853
97.0000,2383.6731,1.0000,8.6779
98.0000,3333.1921,1.0000,10.0237
99.0000,3877.2965,1.0000,10.5071
100.0000,2817.7217,1.0000,9.6436
101.0000,-2398.8022,0.8954,9.1666
102.0000,2628.3464,1.0000,8.9893
103.0000,1655.5835,1.0000,9.4897
104.0000,2612.0490,1.0000,9.3846
105.0000,2499.3752,1.0000,9.6994
106.0000,2914.5448,1.0000,9.4591
107.0000,2715.6189,1.0000,9.8010
108.0000,3403.9871,1.0000,10.4760
109.0000,3209.5115,1.0000,10.3569
110.0000,2291.5449,1.0000,8.9943
111.0000,3115.5094,1.0000,10.2839
112.0000,2684.6140,0.9917,10.5201
113.0000,2899.6740,1.0000,10.9798
114.0000,1697.5448,1.0000,7.4483
115.0000,3184.0009,1.0000,10.2204
116.0000,2076.8018,1.0000,8.4855
117.0000,3146.3452,1.0000,10.2826
118.0000,2900.7373,1.0000,9.9141
119.0000,2245.8479,0.9828,10.2997
120.0000,1214.6486,0.9564,10.5772
121.0000,2621.3626,1.0000,10.3254
122.0000,3337.2457,1.0000,11.7781
123.0000,3433.7562,1.0000,9.6355
124.0000,3010.5219,1.0000,10.8695
125.0000,3633.0875,1.0000,10.2741
126.0000,3244.4848,1.0000,10.6360
127.0000,3071.2000,1.0000,10.7389
128.0000,2607.8138,1.0000,9.3151
129.0000,3163.8371,1.0000,9.7510
130.0000,1766.7156,0.9646,11.1233
131.0000,3073.9841,1.0000,9.3764
132.0000,3026.3288,1.0000,9.8094
133.0000,3264.8968,0.9917,11.7108
134.0000,3034.4680,1.0000,10.5874
135.0000,2924.5176,1.0000,10.4607
136.0000,3158.9748,1.0000,10.5821
137.0000,3756.6573,1.0000,11.3253
138.0000,1524.7605,0.9746,10.8169
139.0000,3349.8822,1.0000,11.1277
140.0000,3075.3139,1.0000,10.0433
141.0000,3037.2805,0.9915,11.7669
142.0000,3872.7757,0.9918,11.7786
143.0000,4123.5520,1.0000,11.7106
144.0000,2835.0504,1.0000,9.9194
145.0000,3062.6106,1.0000,11.1129
146.0000,3301.1568,1.0000,10.0420
147.0000,3894.1418,0.9917,12.6209
148.0000,3785.2095,1.0000,12.0284
149.0000,3356.4289,1.0000,11.2358
150.0000,3295.4900,1.0000,10.3355
151.0000,4091.2586,1.0000,12.2706
152.0000,3346.4034,1.0000,10.8959
153.0000,3618.1263,1.0000,12.3277
154.0000,2443.5426,0.9753,11.3172
155.0000,4045.7806,0.9920,12.3263
156.0000,3120.4717,1.0000,11.0479
157.0000,4028.1108,1.0000,11.4912
158.0000,3826.3224,1.0000,12.8946
159.0000,3419.6474,1.0000,11.4553
160.0000,3203.1409,1.0000,9.8830
161.0000,3037.0332,1.0000,11.5152
162.0000,1289.4036,0.9658,10.0245
163.0000,3848.5913,1.0000,11.5886
164.0000,3783.1941,1.0000,11.9815
165.0000,3588.1716,1.0000,11.7355
166.0000,2889.7700,0.9918,12.3362
167.0000,981.1543,0.9403,12.1848
168.0000,3502.5952,1.0000,11.8892
169.0000,4238.5633,1.0000,11.7784
170.0000,4112.1420,1.0000,11.6873
171.0000,3632.9583,1.0000,11.5334
172.0000,3982.8295,1.0000,12.3673
173.0000,7322.8177,1.0000,8.0181
174.0000,3363.5908,1.0000,11.7267
175.0000,3590.9895,1.0000,11.0101
176.0000,3644.4389,1.0000,11.3218
177.0000,7472.6696,1.0000,8.4134
178.0000,3721.5110,1.0000,11.7623
179.0000,3026.8740,1.0000,11.4868
180.0000,3309.4920,1.0000,11.1813
181.0000,7238.4075,1.0000,8.0933
182.0000,2789.0247,0.9747,11.6540
183.0000,3996.6936,1.0000,12.0178
184.0000,7200.4571,1.0000,8.3948
185.0000,3306.1792,1.0000,11.3097
186.0000,3297.2547,1.0000,10.7407
187.0000,3200.2114,1.0000,11.4778
188.0000,3409.0391,1.0000,12.1306
189.0000,3547.1237,0.9918,11.5622
190.0000,3037.5300,1.0000,11.4942
191.0000,3685.0473,1.0000,12.7159
192.0000,2255.1208,0.9744,12.3380
193.0000,3280.8644,0.9832,12.8660
194.0000,3443.4796,1.0000,11.2056
195.0000,3545.4973,1.0000,11.4176
196.0000,3682.3678,1.0000,11.8977
197.0000,4039.6308,1.0000,12.0191
198.0000,4846.9939,1.0000,12.7136
199.0000,3891.7386,1.0000,12.2091
200.0000,3908.1492,1.0000,11.8259
201.0000,3950.3182,1.0000,11.8041
202.0000,4109.2001,1.0000,12.0665
203.0000,2849.5401,1.0000,11.2501
204.0000,1989.3422,0.9826,11.6131
205.0000,3186.5453,1.0000,10.8979
206.0000,7292.8783,1.0000,8.0493
207.0000,6836.6365,1.0000,7.4996
208.0000,7278.5156,1.0000,7.8841
209.0000,7298.4396,1.0000,8.0243
210.0000,7135.3925,1.0000,7.4634
211.0000,3903.9121,1.0000,11.8105
212.0000,4445.7793,1.0000,11.9821
213.0000,4106.5454,1.0000,11.1300
214.0000,2676.6183,0.9832,11.5056
215.0000,7275.7003,1.0000,8.2067
216.0000,3177.8134,1.0000,11.9179
217.0000,7362.5260,1.0000,8.2650
218.0000,7397.5343,1.0000,8.2570
219.0000,7243.3947,1.0000,7.7314
220.0000,7154.3808,1.0000,7.5202
221.0000,5674.2019,0.9353,8.2217
222.0000,2755.0706,1.0000,10.7184
223.0000,7219.5291,1.0000,7.9909
224.0000,7265.9188,1.0000,7.8102
225.0000,7436.6366,1.0000,8.4717
226.0000,7111.5751,1.0000,7.6513
227.0000,7303.7238,1.0000,7.9749
228.0000,7327.8867,1.0000,7.9758
229.0000,7482.1956,1.0000,8.5919
230.0000,7337.5900,1.0000,8.3769
231.0000,7052.7951,1.0000,7.1486
232.0000,7188.0777,1.0000,7.5878
233.0000,7135.5930,1.0000,7.5153
234.0000,7207.0422,1.0000,7.5536
235.0000,7227.4581,1.0000,7.7373
236.0000,7275.6627,1.0000,8.0193
237.0000,7500.1818,1.0000,8.7307
238.0000,6872.8665,1.0000,6.7470
239.0000,7153.3048,1.0000,7.4807
240.0000,7183.4929,1.0000,7.9712
241.0000,7433.6987,1.0000,8.6351
242.0000,7137.5165,1.0000,7.4002
243.0000,6822.6048,0.9840,7.8424
244.0000,7190.9501,1.0000,7.6226
245.0000,6791.5202,0.9839,7.6830
246.0000,6637.7652,0.9845,7.0219
247.0000,7428.6230,1.0000,8.5191
248.0000,6548.5225,0.9659,8.5867
249.0000,7154.4023,1.0000,7.6335
250.0000,6559.0426,0.9686,8.2616
251.0000,6763.5682,0.9851,7.6326
252.0000,6920.7903,1.0000,7.3147
253.0000,7213.2042,1.0000,7.6671
254.0000,7203.2909,1.0000,7.5919
255.0000,7275.1082,1.0000,7.8440
256.0000,7396.8487,1.0000,8.3362
257.0000,7435.6129,1.0000,8.5302
258.0000,7325.5147,1.0000,8.0870
259.0000,7369.3640,1.0000,8.2451
260.0000,7280.2880,1.0000,8.0186
261.0000,7108.4927,1.0000,7.6173
262.0000,7103.6408,1.0000,7.4258
263.0000,7437.1269,1.0000,8.5389
264.0000,7158.5409,1.0000,7.4984
265.0000,7142.3651,1.0000,7.4572
266.0000,7036.5397,1.0000,7.1797
267.0000,7279.0727,1.0000,8.0838
268.0000,7240.2306,1.0000,7.7309
269.0000,7111.8930,1.0000,7.5140
270.0000,7351.8488,1.0000,8.2733
271.0000,7184.3892,1.0000,8.1062
272.0000,7268.5896,1.0000,7.9053
273.0000,7312.1183,1.0000,8.1654
274.0000,7335.4539,1.0000,8.3069
275.0000,7384.8651,1.0000,8.4252
276.0000,7366.9047,1.0000,8.7040
277.0000,7460.1254,1.0000,8.5080
278.0000,7150.7076,1.0000,7.4380
279.0000,7186.2384,1.0000,7.5801
280.0000,7225.2004,1.0000,7.8368
281.0000,7204.9766,1.0000,7.7218
282.0000,7391.2104,1.0000,8.7785
283.0000,7194.7737,1.0000,7.7379
284.0000,7111.0168,1.0000,7.4826
285.0000,6843.2349,1.0000,6.2648
286.0000,7302.7662,1.0000,8.3223
287.0000,7230.4755,1.0000,7.7615
288.0000,7495.7807,1.0000,8.7669
289.0000,7123.2677,1.0000,7.3982
290.0000,7216.1160,1.0000,7.7974
291.0000,7156.5882,1.0000,7.5810
292.0000,2772.2137,1.0000,10.2325
293.0000,7288.4061,1.0000,8.1404
294.0000,7374.8078,1.0000,8.3359
295.0000,7343.5429,1.0000,8.2351
296.0000,7254.2899,1.0000,8.0037
297.0000,7116.1656,1.0000,7.3749
298.0000,7095.6103,1.0000,7.8740
299.0000,6440.5651,0.9667,8.0809
300.0000,7095.0798,1.0000,7.4901
301.0000,7030.2769,1.0000,7.3385
302.0000,7296.9845,1.0000,8.0942
303.0000,7149.4707,1.0000,7.6297
304.0000,2782.1966,1.0000,10.6310
305.0000,7198.7735,1.0000,8.1165
306.0000,7229.0883,1.0000,7.8542
307.0000,7296.8242,1.0000,8.2746
308.0000,7149.2624,1.0000,7.5384
309.0000,7245.9630,1.0000,7.9862
310.0000,7342.0345,1.0000,8.7452
311.0000,7247.3985,1.0000,7.8755
312.0000,7244.7743,1.0000,7.9383
313.0000,7229.8451,1.0000,7.7758
314.0000,7272.3470,1.0000,8.0154
315.0000,7332.2721,1.0000,8.1562
316.0000,7217.8907,1.0000,7.7578
317.0000,7169.1078,1.0000,7.6284
318.0000,7399.9969,1.0000,8.5845
319.0000,7252.0354,1.0000,7.8444
320.0000,6897.2202,0.9836,8.2508
321.0000,6039.1343,0.9504,8.0417
322.0000,6363.5573,0.9664,7.8583
323.0000,7230.7466,1.0000,7.9865
324.0000,7342.1796,1.0000,8.1800
325.0000,2149.1866,0.9918,10.4290
326.0000,7451.9257,1.0000,8.7061
327.0000,7265.6526,1.0000,8.0129
328.0000,7356.9106,1.0000,8.3843
329.0000,7189.0424,1.0000,7.7037
330.0000,7372.9103,1.0000,8.5175
331.0000,6453.4038,0.9657,8.1935
332.0000,6949.2638,0.9835,8.3399
333.0000,7081.9690,1.0000,7.4247
334.0000,3672.2636,1.0000,10.9077
335.0000,7240.8344,1.0000,7.9041
336.0000,7434.3146,1.0000,8.6107
337.0000,7338.1726,1.0000,8.3661
338.0000,7312.3556,1.0000,8.2493
339.0000,7183.9751,1.0000,7.6193
340.0000,7338.3280,1.0000,8.2751
341.0000,7365.0102,1.0000,8.5801
342.0000,7193.5575,1.0000,7.7425
343.0000,7262.0891,1.0000,8.0595
344.0000,7294.3378,1.0000,8.2724
345.0000,2248.3125,1.0000,10.3337
346.0000,7248.9625,1.0000,7.9712
347.0000,7260.4516,1.0000,8.0137
348.0000,7250.7507,1.0000,8.0640
349.0000,7330.1653,1.0000,8.2422
350.0000,7211.8139,1.0000,7.9336
351.0000,7379.0285,1.0000,8.5392
352.0000,7246.0397,1.0000,7.9869
353.0000,7246.4180,1.0000,7.8780
354.0000,7378.5568,1.0000,8.3972
355.0000,7261.1840,1.0000,7.9677
356.0000,7253.1063,1.0000,8.0024
357.0000,7329.4563,1.0000,8.1330
358.0000,7209.3427,1.0000,7.7945
359.0000,7256.6816,1.0000,7.9152
360.0000,7297.9685,1.0000,8.0368
361.0000,7259.0243,1.0000,7.9703
362.0000,7232.6191,1.0000,7.8489
363.0000,7208.8934,1.0000,7.8087
364.0000,7141.0643,1.0000,7.7138
365.0000,7246.7209,1.0000,7.8085
366.0000,7288.5465,1.0000,8.1400
367.0000,7219.9507,1.0000,7.7862
368.0000,7240.0813,1.0000,7.9117
369.0000,7305.3929,1.0000,8.1632
370.0000,7235.7680,1.0000,7.8917
371.0000,2412.3905,1.0000,10.3891
372.0000,7305.5534,1.0000,8.2922
373.0000,7170.4608,1.0000,7.6853
374.0000,7223.5881,1.0000,7.8390
375.0000,7172.1718,1.0000,7.6719
376.0000,7377.7592,1.0000,8.5020
377.0000,7150.2147,1.0000,7.5119
378.0000,7211.3151,1.0000,7.9111
379.0000,7363.0029,1.0000,8.3696
380.0000,7231.0414,1.0000,7.8773
381.0000,7236.6637,1.0000,7.9376
382.0000,7390.6755,1.0000,8.5308
383.0000,7393.6815,1.0000,8.5384
384.0000,7245.4556,1.0000,7.9015
385.0000,3165.4516,1.0000,9.9944
386.0000,7173.2174,1.0000,7.7302
387.0000,7323.8622,1.0000,8.2699
388.0000,7367.0582,1.0000,8.4223
389.0000,2757.5707,1.0000,9.8288
390.0000,7170.1309,1.0000,7.7617
391.0000,7248.7528,1.0000,8.0321
392.0000,7270.0122,1.0000,8.1879
393.0000,6929.5093,0.9827,8.5151
394.0000,7190.6808,1.0000,7.6923
395.0000,7195.1058,1.0000,7.8661
396.0000,7199.7286,1.0000,7.7767
397.0000,7194.7614,1.0000,7.8180
398.0000,7314.6106,1.0000,8.2327
399.0000,7260.3736,1.0000,8.0197
400.0000,6099.9586,0.9484,8.4363
401.0000,3563.1124,1.0000,11.1493
402.0000,7319.7980,1.0000,8.3314
403.0000,7346.4629,1.0000,8.4733
404.0000,7257.3432,1.0000,8.0048
405.0000,7270.5947,1.0000,8.2281
406.0000,7349.2145,1.0000,8.4837
407.0000,7358.4105,1.0000,8.4333
408.0000,7362.5040,1.0000,8.5878
409.0000,7206.0999,1.0000,7.9611
410.0000,7192.8920,1.0000,7.9205
411.0000,7400.6985,1.0000,8.6454
412.0000,7215.7014,1.0000,8.0333
413.0000,7226.2484,1.0000,7.8514
414.0000,7373.0808,1.0000,8.5932
415.0000,7434.9633,1.0000,8.8385
416.0000,7397.8299,1.0000,8.5285
417.0000,7201.4988,1.0000,7.7785
418.0000,7106.5384,1.0000,7.4538
419.0000,7230.5209,1.0000,7.8434
420.0000,7367.8825,1.0000,8.4261
421.0000,7213.4759,1.0000,7.8975
422.0000,7230.3950,1.0000,7.9509
423.0000,7292.6187,1.0000,8.2749
424.0000,7191.6045,1.0000,7.8158
425.0000,7268.1346,1.0000,8.2468
426.0000,7305.1724,1.0000,8.2107
427.0000,7316.2877,1.0000,8.3197
428.0000,7342.5824,1.0000,8.3529
429.0000,7287.8175,1.0000,8.2279
430.0000,6096.9248,0.9487,8.3802
431.0000,7235.6698,1.0000,7.9769
432.0000,7303.1363,1.0000,8.2557
433.0000,6385.2165,0.9658,7.9219
434.0000,7235.4347,1.0000,8.0734
435.0000,7450.1015,1.0000,8.8288
436.0000,7308.8014,1.0000,8.2993
437.0000,7234.0047,1.0000,7.9711
438.0000,7355.0134,1.0000,8.4472
439.0000,7460.7533,1.0000,8.8704
440.0000,7304.1051,1.0000,8.3705
441.0000,7291.3470,1.0000,8.2129
442.0000,7269.4051,1.0000,8.0649
443.0000,7359.7962,1.0000,8.4721
444.0000,7305.6526,1.0000,8.2515
445.0000,7351.9967,1.0000,8.3445
446.0000,7278.6872,1.0000,8.0654
447.0000,7249.7391,1.0000,8.0629
448.0000,7152.4169,1.0000,7.7249
449.0000,7313.6972,1.0000,8.2287
450.0000,7169.5017,1.0000,7.7037
451.0000,7258.2760,1.0000,8.0358
452.0000,7249.8009,1.0000,8.1078
453.0000,7259.7501,1.0000,8.1483
454.0000,7217.6634,1.0000,8.0142
455.0000,7308.1796,1.0000,8.2263
456.0000,6505.1122,0.9654,8.3575
457.0000,7190.2147,1.0000,7.9046
458.0000,7218.3985,1.0000,8.0370
459.0000,7223.9539,1.0000,7.8844
460.0000,3061.8532,1.0000,11.7639
461.0000,7344.2695,1.0000,8.4052
462.0000,7246.6187,1.0000,8.0887
463.0000,7254.9719,1.0000,8.1216
464.0000,7261.8960,1.0000,8.1342
465.0000,7273.2578,1.0000,8.0795
466.0000,7352.6136,1.0000,8.4828
467.0000,7263.1723,1.0000,8.0950
468.0000,3659.3615,1.0000,11.2979
469.0000,7260.8338,1.0000,8.0813
470.0000,7339.1591,1.0000,8.3715
471.0000,4134.8760,1.0000,10.9799
472.0000,7296.9037,1.0000,8.1266
473.0000,7386.1325,1.0000,8.7015
474.0000,7288.9322,1.0000,8.1749
475.0000,7293.7002,1.0000,8.3453
476.0000,7381.3571,1.0000,8.5526
477.0000,7320.2761,1.0000,8.4009
478.0000,7418.4854,1.0000,8.7799
479.0000,7175.3709,1.0000,7.7809
480.0000,7209.9968,1.0000,7.9868
481.0000,7313.8184,1.0000,8.4207
482.0000,7262.1056,1.0000,8.0835
483.0000,7283.7185,1.0000,8.1472
484.0000,7252.6396,1.0000,8.0770
485.0000,7309.1156,1.0000,8.3248
486.0000,7212.7245,1.0000,7.8899
487.0000,7272.2810,1.0000,8.2125
488.0000,7235.1625,1.0000,7.9671
489.0000,7283.3506,1.0000,8.1284
490.0000,7237.4130,1.0000,7.9658
491.0000,7206.8071,1.0000,7.8636
492.0000,7264.0271,1.0000,8.1435
493.0000,7281.3730,1.0000,8.1467
494.0000,7279.7731,1.0000,8.1017
495.0000,7162.5037,1.0000,7.7117
496.0000,7170.7261,1.0000,7.7647
497.0000,7149.4369,1.0000,7.7482
498.0000,7185.6964,1.0000,7.8861
499.0000,2091.3193,1.0000,10.3317
500.0000,7216.8919,1.0000,7.9230
